-1.453	-1.269	13.853	1.201	0.105	5.777
-1.453	-1.269	13.853	1.204	0.140	5.769
-1.453	-1.269	13.853	1.170	0.114	5.872
-1.453	-1.269	13.853	1.133	0.126	5.985
-1.453	-1.269	13.853	2.261	0.337	12.345
1.386	0.293	5.215	2.261	0.337	12.345
1.386	0.293	5.215	1.771	-0.253	12.003
3.186	0.273	12.127	1.635	-0.428	11.943
3.186	0.273	12.127	1.669	-0.510	12.037
3.176	0.108	10.664	1.728	-0.666	12.480
3.177	0.220	10.781	1.580	-0.845	12.577
3.598	0.373	12.416	1.580	-0.845	12.577
3.607	0.396	12.452	1.285	-0.466	12.667
3.593	0.239	12.120	1.116	-0.419	12.674
3.593	0.239	12.120	0.890	-0.216	12.621
3.302	0.201	12.259	0.821	-0.123	12.825
3.259	0.197	12.807	0.821	-0.045	12.767
3.263	0.059	13.104	0.797	-0.037	13.043
3.259	0.005	12.848	0.852	-0.018	13.099
3.259	0.005	12.848	0.917	-0.020	14.099
3.259	0.005	12.848	1.194	0.337	13.777
3.259	0.005	12.848	1.239	0.446	13.961
3.280	0.153	14.540	1.217	0.523	14.086
3.048	0.285	13.381	1.231	0.605	14.145
2.993	0.379	13.809	1.260	0.601	14.279
2.971	0.440	14.200	1.325	0.531	14.356
2.973	0.439	14.341	1.403	0.466	14.344
2.968	0.487	14.508	1.463	0.442	14.364
2.988	0.563	14.650	1.498	0.449	14.414
2.962	0.615	14.798	1.538	0.422	14.384
2.890	0.590	14.754	1.566	0.411	14.407
2.829	0.526	14.755	1.577	0.436	14.471
2.749	0.512	14.864	1.585	0.453	14.547
2.706	0.487	15.126	1.623	0.430	14.417
2.707	0.486	15.168	1.663	0.462	14.495
2.722	0.472	15.154	1.674	0.498	14.551
2.782	0.502	15.170	1.672	0.530	14.595
2.818	0.531	15.157	1.651	0.584	14.503
2.843	0.553	15.130	1.629	0.626	14.544
2.859	0.557	15.019	1.602	0.645	14.532
2.897	0.596	14.973	1.593	0.648	14.478
2.959	0.619	15.015	1.595	0.640	14.543
2.976	0.613	14.993	1.599	0.617	14.592
2.974	0.608	14.982	1.611	0.607	14.617
2.973	0.597	14.970	1.629	0.572	14.617
2.992	0.609	15.072	1.666	0.511	14.661
2.994	0.602	15.097	1.685	0.492	14.663
2.997	0.599	15.123	1.692	0.501	14.681
2.985	0.603	15.132	1.692	0.487	14.695
2.973	0.642	15.159	1.683	0.494	14.652
2.952	0.635	15.076	1.698	0.507	14.667
2.944	0.639	15.145	1.712	0.508	14.661
2.939	0.655	15.212	1.742	0.502	14.592
2.948	0.656	15.204	1.758	0.496	14.546
2.944	0.655	15.188	1.784	0.513	14.631
2.934	0.653	15.217	1.827	0.483	14.594
2.930	0.653	15.221	1.848	0.483	14.606
2.923	0.661	15.246	1.877	0.471	14.576
2.913	0.665	15.259	1.897	0.473	14.617
2.903	0.651	15.301	1.907	0.457	14.571
2.878	0.649	15.252	1.902	0.453	14.541
2.868	0.644	15.250	1.914	0.444	14.560
2.871	0.653	15.236	1.924	0.409	14.570
2.877	0.660	15.118	1.930	0.394	14.543
2.872	0.659	15.070	1.943	0.372	14.575
2.878	0.656	15.080	1.948	0.365	14.591
2.878	0.652	15.056	1.932	0.362	14.516
2.884	0.647	15.062	1.922	0.360	14.535
2.886	0.643	15.094	1.919	0.358	14.505
2.886	0.632	15.101	1.928	0.354	14.480
2.887	0.631	15.073	1.933	0.365	14.500
2.898	0.630	15.096	1.927	0.365	14.499
2.891	0.621	15.089	1.916	0.367	14.488
2.880	0.603	15.055	1.923	0.371	14.530
2.876	0.590	15.071	1.920	0.366	14.464
2.869	0.563	15.056	1.936	0.354	14.475
2.868	0.561	15.086	1.943	0.353	14.378
2.859	0.547	15.039	1.948	0.350	14.400
2.850	0.541	15.046	1.945	0.355	14.501
2.851	0.530	15.022	1.930	0.371	14.480
2.856	0.518	15.014	1.918	0.374	14.475
2.857	0.483	14.998	1.915	0.390	14.468
2.840	0.472	15.012	1.906	0.394	14.512
2.832	0.469	15.004	1.855	0.410	14.448
2.831	0.459	15.000	1.797	0.403	14.426
2.822	0.450	15.049	1.715	0.390	14.444
2.803	0.463	15.047	1.626	0.398	14.390
2.796	0.466	15.045	1.569	0.403	14.416
2.794	0.464	15.047	1.559	0.389	14.438
2.792	0.468	15.053	1.568	0.379	14.438
2.792	0.467	15.040	1.579	0.393	14.450
2.797	0.468	15.028	1.594	0.395	14.449
2.805	0.465	15.036	1.605	0.405	14.462
2.815	0.459	15.032	1.607	0.418	14.440
2.820	0.461	15.055	1.611	0.433	14.484
2.822	0.465	15.041	1.612	0.430	14.483
2.818	0.474	15.044	1.606	0.441	14.505
2.812	0.482	15.094	1.600	0.449	14.502
2.801	0.490	15.079	1.601	0.457	14.533
2.799	0.487	15.059	1.601	0.459	14.511
2.796	0.493	15.068	1.603	0.469	14.517
2.796	0.507	15.115	1.612	0.489	14.563
2.791	0.523	15.074	1.595	0.502	14.538
2.806	0.560	15.108	1.592	0.501	14.485
2.826	0.615	15.169	1.597	0.514	14.484
2.832	0.649	15.171	1.607	0.530	14.578
2.839	0.658	15.189	1.622	0.541	14.634
2.841	0.709	15.258	1.622	0.572	14.616
2.846	0.751	15.265	1.626	0.583	14.635
2.845	0.777	15.307	1.632	0.592	14.643
2.828	0.785	15.344	1.640	0.598	14.653
2.797	0.797	15.382	1.641	0.614	14.660
2.783	0.810	15.402	1.651	0.632	14.737
2.769	0.820	15.413	1.651	0.651	14.753
2.754	0.829	15.461	1.650	0.669	14.737
2.744	0.831	15.471	1.651	0.673	14.732
2.740	0.847	15.550	1.653	0.674	14.722
2.728	0.845	15.521	1.656	0.685	14.705
2.716	0.868	15.505	1.651	0.701	14.726
