10.374	-8.147	5.308	-2.202	-6.661	7.727	0.000	
10.329	-8.076	5.282	-2.242	-6.581	7.766	0.033	
10.285	-8.051	5.219	-2.284	-6.510	7.790	0.067	
10.252	-8.053	5.122	-2.310	-6.486	7.781	0.100	
10.215	-8.055	5.041	-2.340	-6.441	7.805	0.133	
10.182	-8.031	5.005	-2.367	-6.426	7.795	0.167	
10.154	-7.999	4.964	-2.389	-6.408	7.781	0.200	
10.147	-7.987	4.896	-2.408	-6.392	7.770	0.233	
10.109	-7.970	4.739	-2.460	-6.318	7.792	0.267	
10.081	-7.909	4.639	-2.505	-6.259	7.783	0.300	
10.068	-7.881	4.521	-2.549	-6.201	7.774	0.333	
10.053	-7.837	4.436	-2.576	-6.190	7.718	0.367	
10.029	-7.771	4.378	-2.595	-6.163	7.694	0.400	
10.003	-7.695	4.358	-2.601	-6.158	7.644	0.433	
9.969	-7.623	4.342	-2.607	-6.152	7.594	0.467	
9.943	-7.579	4.303	-2.612	-6.125	7.571	0.500	
9.928	-7.578	4.207	-2.613	-6.145	7.500	0.533	
9.929	-7.567	4.103	-2.607	-6.171	7.434	0.567	
9.933	-7.506	4.052	-2.606	-6.149	7.416	0.600	
9.946	-7.434	3.993	-2.598	-6.148	7.372	0.633	
9.961	-7.373	3.896	-2.589	-6.127	7.355	0.667	
9.977	-7.340	3.775	-2.575	-6.132	7.316	0.700	
9.968	-7.262	3.709	-2.561	-6.137	7.276	0.733	
9.960	-7.213	3.619	-2.547	-6.142	7.237	0.767	
9.945	-7.168	3.533	-2.533	-6.152	7.203	0.800	
9.922	-7.097	3.471	-2.520	-6.168	7.173	0.833	
9.900	-7.047	3.380	-2.512	-6.162	7.169	0.867	
9.884	-7.003	3.294	-2.505	-6.162	7.169	0.900	
9.879	-6.974	3.176	-2.499	-6.162	7.170	0.933	
9.880	-6.951	3.062	-2.499	-6.168	7.174	0.967	
9.881	-6.929	2.949	-2.487	-6.194	7.153	1.000	
9.889	-6.911	2.841	-2.474	-6.220	7.131	1.033	
9.878	-6.861	2.798	-2.467	-6.220	7.132	1.067	
9.878	-6.887	2.677	-2.461	-6.241	7.106	1.100	
9.795	-6.330	2.972	-2.293	-5.791	7.401	1.133	
9.701	-5.751	3.334	-2.117	-5.340	7.696	1.167	
9.623	-5.224	3.658	-1.934	-4.892	7.997	1.200	
9.551	-4.710	3.990	-1.745	-4.430	8.328	1.233	
9.483	-4.184	4.360	-1.544	-3.992	8.639	1.267	
9.422	-3.671	4.737	-1.350	-3.531	9.014	1.300	
9.370	-3.183	5.092	-1.162	-3.075	9.392	1.333	
9.324	-2.689	5.444	-0.974	-2.619	9.771	1.367	
9.285	-2.190	5.792	-0.813	-2.127	10.194	1.400	
9.252	-1.702	6.149	-0.697	-1.588	10.700	1.433	
9.223	-1.179	6.567	-0.665	-0.913	11.397	1.467	
9.195	-0.622	7.044	-0.687	-0.291	11.978	1.500	
9.181	-0.073	7.532	-0.756	0.399	12.622	1.533	
9.182	0.455	7.993	-0.834	1.024	13.117	1.567	
9.170	1.041	8.542	-0.916	1.677	13.550	1.600	
9.254	1.033	8.687	-1.167	1.877	13.645	1.633	
9.346	1.004	8.806	-1.443	2.101	13.757	1.667	
9.427	1.039	9.000	-1.765	2.404	13.997	1.700	
9.508	1.084	9.184	-2.115	2.668	14.225	1.733	
9.582	1.134	9.363	-2.444	2.871	14.392	1.767	
9.668	1.156	9.482	-2.722	3.049	14.541	1.800	
9.742	1.217	9.653	-2.927	3.181	14.655	1.833	
9.811	1.272	9.827	-3.055	3.297	14.830	1.867	
9.861	1.354	10.061	-3.130	3.413	15.042	1.900	
9.914	1.388	10.252	-3.172	3.547	15.238	1.933	
9.943	1.451	10.499	-3.114	3.539	15.211	1.967	
9.931	1.496	10.752	-2.993	3.547	15.255	2.000	
9.870	1.513	11.028	-2.810	3.527	15.287	2.033	
9.803	1.445	11.291	-2.593	3.524	15.388	2.067	
9.739	1.371	11.600	-2.352	3.513	15.536	2.100	
9.665	1.322	12.048	-2.098	3.480	15.665	2.133	
9.575	1.276	12.609	-1.801	3.369	15.705	2.167	
9.502	1.148	13.122	-1.463	3.199	15.601	2.200	
9.444	1.247	13.788	-1.094	3.138	15.529	2.233	
9.411	1.388	14.459	-0.739	3.145	15.515	2.267	
9.402	1.529	15.136	-0.428	3.176	15.476	2.300	
9.426	1.671	15.811	-0.171	3.227	15.415	2.333	
9.472	1.839	16.503	0.030	3.296	15.296	2.367	
9.519	2.003	17.186	0.230	3.279	15.010	2.400	
9.551	2.194	17.893	0.448	3.241	14.708	2.433	
9.572	2.370	18.523	0.673	3.216	14.435	2.467	
9.599	2.514	19.026	0.898	3.217	14.216	2.500	
9.637	2.678	19.480	1.109	3.226	14.031	2.533	
9.655	2.874	19.949	1.295	3.274	13.928	2.567	
9.687	3.007	20.315	1.440	3.378	13.931	2.600	
9.754	3.120	20.539	1.567	3.509	13.949	2.633	
9.818	3.310	20.726	1.671	3.720	14.016	2.667	
9.839	3.565	20.898	1.763	3.953	14.104	2.700	
9.837	3.554	20.832	1.841	4.087	14.077	2.733	
9.829	3.448	20.694	1.901	4.231	14.039	2.767	
9.807	3.369	20.568	1.954	4.345	13.948	2.800	
9.743	3.314	20.420	1.989	4.495	13.904	2.833	
9.672	3.167	20.118	1.997	4.628	13.833	2.867	
9.614	2.978	19.740	1.985	4.774	13.791	2.900	
9.577	2.773	19.333	1.954	4.901	13.721	2.933	
9.590	2.513	18.858	1.903	5.006	13.628	2.967	
9.647	2.297	18.464	1.828	5.102	13.499	3.000	
9.724	2.150	18.129	1.765	5.134	13.304	3.033	
9.824	2.039	17.762	1.714	5.139	13.094	3.067	
9.903	1.990	17.417	1.688	5.047	12.811	3.100	
9.953	1.920	17.045	1.664	4.928	12.592	3.133	
10.020	1.755	16.527	1.626	4.781	12.395	3.167	
10.108	1.621	16.060	1.584	4.568	12.173	3.200	
10.198	1.502	15.655	1.547	4.322	11.973	3.233	
10.265	1.452	15.305	1.503	4.083	11.806	3.267	
10.306	1.392	14.961	1.451	3.876	11.693	3.300	
10.356	1.281	14.581	1.386	3.675	11.574	3.333	
10.375	1.241	14.333	1.303	3.501	11.470	3.367	
10.379	1.209	14.117	1.206	3.320	11.367	3.400	
10.354	1.230	13.934	1.113	3.115	11.287	3.433	
10.307	1.269	13.773	1.020	2.918	11.239	3.467	
10.243	1.280	13.595	0.939	2.733	11.223	3.500	
10.176	1.228	13.344	0.846	2.587	11.216	3.533	
10.102	1.200	13.112	0.709	2.533	11.331	3.567	
10.016	1.154	12.854	0.548	2.459	11.339	3.600	
9.908	1.121	12.622	0.387	2.383	11.307	3.633	
9.797	1.102	12.420	0.221	2.324	11.302	3.667	
9.663	1.116	12.272	0.067	2.251	11.267	3.700	
9.522	1.135	12.119	-0.085	2.268	11.322	3.733	
9.386	1.097	11.887	-0.232	2.281	11.382	3.767	
9.251	1.045	11.624	-0.366	2.251	11.395	3.800	
9.115	1.016	11.382	-0.480	2.234	11.440	3.833	
9.000	0.978	11.106	-0.569	2.207	11.496	3.867	
8.908	0.956	10.818	-0.650	2.199	11.579	3.900	
8.909	0.372	10.246	-0.777	1.637	11.202	3.933	
8.906	-0.187	9.740	-0.895	1.090	10.813	3.967	
8.908	-0.752	9.239	-1.014	0.538	10.428	4.000	
8.915	-1.311	8.771	-1.121	-0.062	9.994	4.033	
8.925	-1.864	8.345	-1.195	-0.703	9.482	4.067	
8.947	-2.424	7.922	-1.250	-1.314	9.070	4.100	
8.999	-3.007	7.473	-1.291	-1.947	8.631	4.133	
9.056	-3.578	7.062	-1.300	-2.593	8.166	4.167	
8.882	-3.253	7.362	-1.347	-2.309	8.153	4.200	
8.721	-2.934	7.667	-1.386	-2.035	8.107	4.233	
8.568	-2.580	8.033	-1.430	-1.737	8.040	4.267	
8.427	-2.207	8.427	-1.478	-1.407	7.947	4.300	
8.291	-1.826	8.854	-1.520	-1.101	7.751	4.333	
8.138	-1.429	9.348	-1.562	-0.813	7.529	4.367	
7.978	-1.065	9.830	-1.604	-0.526	7.308	4.400	
7.729	-0.127	10.627	-1.593	0.360	7.551	4.433	
7.489	0.796	11.392	-1.576	1.217	7.777	4.467	
7.249	1.724	12.152	-1.565	2.080	7.998	4.500	
7.009	2.657	12.915	-1.566	2.985	8.273	4.533	
6.763	3.608	13.693	-1.563	3.844	8.498	4.567	
6.522	4.568	14.472	-1.560	4.721	8.747	4.600	
6.265	5.551	15.279	-1.582	5.645	9.083	4.633	
6.011	6.511	16.057	-1.644	6.566	9.457	4.667	
6.009	6.528	16.081	-1.682	6.593	9.471	4.700	
6.007	6.562	16.129	-1.736	6.559	9.495	4.733	
6.005	6.597	16.178	-1.792	6.502	9.578	4.767	
6.002	6.622	16.234	-1.857	6.434	9.791	4.800	
6.020	6.629	16.269	-1.950	6.364	10.124	4.833	
6.056	6.642	16.299	-2.050	6.292	10.499	4.867	
6.110	6.681	16.348	-2.155	6.233	10.902	4.900	
6.205	6.681	16.356	-2.256	6.146	11.287	4.933	
6.332	6.686	16.363	-2.338	6.060	11.676	4.967	
6.502	6.722	16.385	-2.408	5.969	12.070	5.000	
6.695	6.798	16.453	-2.489	5.915	12.471	5.033	
6.923	6.837	16.441	-2.569	5.848	12.843	5.067	
7.149	6.909	16.475	-2.643	5.769	13.186	5.100	
