1.144	0.308	5.950	2.475	0.156	12.417
1.205	0.246	5.765	2.457	0.182	12.417
1.244	0.174	5.647	2.399	0.173	12.383
1.244	0.174	5.647	2.281	0.235	12.452
1.244	0.174	5.647	2.150	0.216	12.348
1.380	0.242	5.234	2.150	0.216	12.348
1.380	0.242	5.234	1.600	-0.365	11.853
3.246	0.137	12.280	1.505	-0.504	11.821
3.323	0.026	12.246	1.558	-0.584	12.112
3.631	0.008	12.046	1.572	-0.734	12.348
3.727	0.127	12.112	1.458	-0.795	12.487
3.762	0.221	12.145	1.458	-0.795	12.487
3.758	0.213	12.212	1.175	-0.424	12.630
3.693	0.146	12.280	1.012	-0.367	12.812
3.569	0.096	12.417	0.797	-0.263	12.523
3.428	0.089	12.666	0.707	-0.203	12.630
3.367	0.071	12.739	0.684	-0.187	12.702
3.314	-0.036	12.775	0.676	-0.171	12.887
3.366	-0.107	12.702	0.745	-0.129	13.154
3.366	-0.107	12.702	0.792	-0.137	13.984
3.100	-0.098	11.697	1.084	0.209	13.598
2.962	-0.074	13.154	1.141	0.331	13.940
2.967	0.009	12.702	1.128	0.422	14.028
3.138	0.169	13.433	1.132	0.492	14.073
3.110	0.268	13.682	1.169	0.475	14.163
3.090	0.302	13.940	1.246	0.419	14.254
3.090	0.336	14.118	1.320	0.360	14.300
3.060	0.379	14.254	1.364	0.321	14.346
3.050	0.433	14.393	1.415	0.311	14.346
2.978	0.468	14.534	1.449	0.292	14.393
2.907	0.457	14.534	1.480	0.282	14.393
2.843	0.421	14.679	1.490	0.302	14.393
2.769	0.382	14.777	1.505	0.313	14.440
2.733	0.367	14.976	1.545	0.303	14.440
2.733	0.356	14.976	1.575	0.333	14.440
2.754	0.346	14.976	1.585	0.374	14.440
2.807	0.367	14.976	1.570	0.423	14.393
2.840	0.385	14.876	1.530	0.483	14.393
2.862	0.403	14.777	1.500	0.503	14.393
2.894	0.433	14.728	1.475	0.512	14.346
2.936	0.441	14.679	1.469	0.513	14.393
2.987	0.474	14.728	1.469	0.503	14.393
